🕘️更新时间,#genre#
2025-08-31 18:49:24,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv1$订阅源

📺央视频道,#genre#
CCTV-1,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv1$订阅源
CCTV-2,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv2$订阅源
CCTV-2,http://8.134.110.147:5300/?id=cctv2$订阅源
CCTV-2,http://106.52.196.79:80/TV/mui.php?id=cctv2$订阅源
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.93:11111$订阅源
CCTV-3,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv3$订阅源
CCTV-3,http://8.134.110.147:5300/?id=cctv3$订阅源
CCTV-3,http://106.52.196.79:80/TV/mui.php?id=cctv3$订阅源
CCTV-3,http://218.17.33.178:53290/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://110.181.234.38:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://110.181.237.202:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.63:11111$订阅源
CCTV-3,http://153.0.171.163:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv4$订阅源
CCTV-4,http://8.134.110.147:5300/?id=cctv4$订阅源
CCTV-4,http://106.52.196.79:80/TV/mui.php?id=cctv4$订阅源
CCTV-4,http://218.17.33.178:53290/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://111.9.163.109:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源
CCTV-4,http://222.129.32.255:4022/rtp/239.3.1.105:8092$订阅源
CCTV-4,http://121.60.56.116:10001/rtp/239.69.1.138:10466$订阅源
CCTV-5,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv5$订阅源
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td$订阅源
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100$订阅源
CCTV-5,http://106.52.196.79:80/TV/mui.php?id=cctv5$订阅源
CCTV-5,http://218.17.33.178:53290/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://111.9.163.109:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://222.129.32.255:4022/rtp/239.3.1.173:8001$订阅源
CCTV-5,http://121.60.56.116:10001/rtp/239.69.1.123:10376$订阅源
CCTV-5+,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv5p$订阅源
CCTV-5+,http://106.52.196.79:80/TV/mui.php?id=cctv5p$订阅源
CCTV-5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://110.181.234.38:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://112.27.235.94:8000/hls/6/index.m3u8$订阅源
CCTV-5+,http://61.156.228.12:8154/tsfile/live/0016_1.m3u8$订阅源
CCTV-5+,http://110.181.237.202:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.26:11111$订阅源
CCTV-6,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv6$订阅源
CCTV-6,http://8.134.110.147:5300/?id=cctv6$订阅源
CCTV-6,http://106.52.196.79:80/TV/mui.php?id=cctv6$订阅源
CCTV-6,http://218.17.33.178:53290/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://111.9.163.109:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://112.27.235.94:8000/hls/7/index.m3u8$订阅源
CCTV-6,http://110.181.237.202:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
